Date,Shop,916 Price,999 Price
5/29/2025 11:49,Chiang Heng,429,493
5/30/2025 11:49,Chiang Heng,429,493
5/31/2025 11:49,Chiang Heng,429,493
6/1/2025 11:49,Chiang Heng,429,493
6/2/2025 11:49,Chiang Heng,429,493
6/3/2025 11:49,Chiang Heng,442,507
6/4/2025 11:49,Chiang Heng,442,507
6/5/2025 11:49,Chiang Heng,437,507
6/6/2025 11:49,Chiang Heng,437,507
6/7/2025 11:49,Chiang Heng,437,507
6/8/2025 11:49,Chiang Heng,437,507
6/9/2025 11:49,Chiang Heng,437,499
6/10/2025 11:49,Chiang Heng,437,499
6/11/2025 11:49,Chiang Heng,437,499
6/12/2025 11:49,Chiang Heng,432,499
6/13/2025 11:49,Chiang Heng,432,499
6/14/2025 11:49,Chiang Heng,432,499
6/15/2025 11:49,Chiang Heng,432,499
6/16/2025 11:49,Chiang Heng,449,518
6/17/2025 11:49,Chiang Heng,449,518
6/18/2025 11:49,Chiang Heng,449,518
6/19/2025 11:49,Chiang Heng,439,506
6/20/2025 11:49,Chiang Heng,439,506
6/21/2025 11:49,Chiang Heng,439,506
6/22/2025 11:49,Chiang Heng,439,506
6/23/2025 11:49,Chiang Heng,445,510
6/24/2025 11:49,Chiang Heng,445,510
6/25/2025 11:49,Chiang Heng,445,510
6/26/2025 11:49,Chiang Heng,445,510
6/27/2025 11:49,Chiang Heng,430,499
6/28/2025 11:49,Chiang Heng,430,499
6/29/2025 11:49,Chiang Heng,430,499
6/30/2025 11:49,Chiang Heng,430,499
7/1/2025 11:49,Chiang Heng,435,499
7/2/2025 11:49,Chiang Heng,435,499
7/3/2025 11:49,Chiang Heng,429,499
7/4/2025 11:49,Chiang Heng,429,499
7/5/2025 11:49,Chiang Heng,429,499
7/6/2025 11:49,Chiang Heng,429,499
7/7/2025 11:49,Chiang Heng,434,495
7/8/2025 11:49,Chiang Heng,434,495
7/9/2025 11:49,Chiang Heng,434,495
7/10/2025 11:49,Chiang Heng,434,495
7/11/2025 11:49,Chiang Heng,434,495
7/12/2025 11:49,Chiang Heng,434,495
7/13/2025 11:49,Chiang Heng,434,495
7/14/2025 11:49,Chiang Heng,441,503
7/15/2025 11:49,Chiang Heng,441,503
7/16/2025 11:49,Chiang Heng,441,503
7/17/2025 11:49,Chiang Heng,441,503
7/18/2025 11:49,Chiang Heng,435,502
7/19/2025 11:49,Chiang Heng,435,502
7/20/2025 11:49,Chiang Heng,435,502
7/21/2025 11:49,Chiang Heng,440,502
7/22/2025 11:49,Chiang Heng,443,506
7/23/2025 11:49,Chiang Heng,443,506
7/24/2025 11:49,Chiang Heng,443,506
7/25/2025 11:49,Chiang Heng,436,498
7/26/2025 11:49,Chiang Heng,436,498
7/27/2025 11:49,Chiang Heng,436,498
