Date,Shop,916 Price,999 Price
5/29/2025 23:57,Poh Kong,500,545
5/30/2025 11:49,Poh Kong,500,545
5/31/2025 11:49,Poh Kong,500,545
6/1/2025 11:49,Poh Kong,500,545
6/2/2025 11:49,Poh Kong,500,545
6/3/2025 11:49,Poh Kong,500,545
6/4/2025 11:49,Poh Kong,500,545
6/5/2025 11:49,Poh Kong,500,545
6/8/2025 11:49,Poh Kong,500,545
6/9/2025 11:49,Poh Kong,500,545
6/10/2025 11:49,Poh Kong,500,545
6/12/2025 11:49,Poh Kong,500,545
6/13/2025 11:49,Poh Kong,500,545
6/14/2025 11:49,Poh Kong,500,545
6/15/2025 11:49,Poh Kong,500,545
6/16/2025 11:49,Poh Kong,500,545
6/17/2025 11:49,Poh Kong,500,545
6/18/2025 11:49,Poh Kong,500,545
6/21/2025 11:49,Poh Kong,500,545
6/23/2025 11:49,Poh Kong,500,545
6/24/2025 11:49,Poh Kong,500,545
6/27/2025 11:49,Poh Kong,500,545
6/28/2025 11:49,Poh Kong,500,545
6/29/2025 11:49,Poh Kong,500,545
6/30/2025 11:49,Poh Kong,500,545
7/1/2025 11:49,Poh Kong,500,545
7/2/2025 11:49,Poh Kong,500,545
7/3/2025 11:49,Poh Kong,500,545
7/4/2025 11:49,Poh Kong,500,545
7/5/2025 11:49,Poh Kong,500,545
7/8/2025 11:49,Poh Kong,500,545
7/9/2025 11:49,Poh Kong,500,545
7/10/2025 11:49,Poh Kong,500,545
7/11/2025 11:49,Poh Kong,500,545
7/12/2025 11:49,Poh Kong,500,545
7/13/2025 11:49,Poh Kong,500,545
7/14/2025 11:49,Poh Kong,500,545
7/15/2025 11:49,Poh Kong,500,545
7/16/2025 11:49,Poh Kong,500,545
7/17/2025 11:49,Poh Kong,500,545
7/18/2025 11:49,Poh Kong,500,545
7/19/2025 11:49,Poh Kong,500,545
7/20/2025 11:49,Poh Kong,500,545
7/21/2025 11:49,Poh Kong,500,545
7/22/2025 11:49,Poh Kong,500,545
7/23/2025 11:49,Poh Kong,500,545
7/24/2025 11:49,Poh Kong,510,560
7/25/2025 11:49,Poh Kong,510,560
7/26/2025 11:49,Poh Kong,510,560
7/27/2025 11:49,Poh Kong,510,560
7/28/2025 11:49,Poh Kong,510,560
7/29/2025 11:49,Poh Kong,510,560
7/30/2025 11:49,Poh Kong,510,560
7/31/2025 11:49,Poh Kong,510,560
8/1/2025 11:49,Poh Kong,510,560
8/2/2025 11:49,Poh Kong,510,560
8/3/2025 11:49,Poh Kong,510,560
8/4/2025 11:49,Poh Kong,510,560
